camera,date,time,b.species,f.species,notes
1,6-30-2023,12:33,Panterpe insignis,C. costaricae,
2,07-02-2023,5:30,,C. valerii,Unidentified
2,07-01-2023,16:53,Colibri cyanotus,C. valerii,Cato MFDC 1636
4,07-01-2023,8:15,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,7:36,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,6:56,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,6:26,Colibri cyanotus,C. talamancensis,"CATO: unsure, video MFDC0164"
4,6-30-2023,17:12,Eugenes spectabilis,C. talamancensis,"this bird species long straight beak, white dash on side"
4,6-30-2023,16:18,Eugenes spectabilis,C. talamancensis,
4,6-30-2023,15:05,Eugenes spectabilis,C. talamancensis,
4,6-30-2023,14:41,unknown,C. talamancensis,bird hard to see
4,6-30-2023,14:16,Eugenes spectabilis,C. talamancensis,
4,6-30-2023,11:35,unknown,C. talamancensis,bird not visible
4,6-30-2023,10:41,Eugenes spectabilis,C. talamancensis,
4,6-30-2023,9:14,Eugenes spectabilis,C. talamancensis,
4,6-30-2023,6:05,Eugenes spectabilis,C. talamancensis,
4,6-30-2023,9:14,Eugenes spectabilis,C. talamancensis,MFDC0042
4,7-1-2023,9:25,Eugenes spectabilis,C. talamancensis,Cato check - MFDC0186
4,7-1-2023,10:01,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,10:51,Eugenes spectabilis,C. talamancensis,Cato check - MFDC0191
4,7-1-2023,11:23,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,12:03,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,12:50,Eugenes spectabilis,C. talamancensis,For presentation
4,7-1-2023,1:59,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,2:36,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,3:30,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,4:17,Eugenes spectabilis,C. talamancensis,
4,7-1-2023,5:12,Eugenes spectabilis,C. talamancensis,Raj
4,7-2-2023,10:41,,C. talamancensis,
4,7-2-2023,6:06,,C. talamancensis,
4,7-2-2023,6:52,,C. talamancensis,
6,7-2-2023,6:09,Eugenes spectabilis,C. talamancensis,
6,7-1-2023,8:38,Eugenes spectabilis,C. talamancensis,For presentation
6,7-1-2023,9:38,Eugenes spectabilis,C. talamancensis,
6,7-1-2023,12:59,Eugenes spectabilis,C. talamancensis,
6,6-30-2023,9:24,Eugenes spectabilis,C. talamancensis,"CATO: not sure, video: MFDC0501"
6,6-30-2023,7:47,Eugenes spectabilis,C. talamancensis,
7,7-1-2023,9:59,Colibri cyanotus,C. valerii,Cato MFDC0508
7,7-1-2023,5:57,Colibri cyanotus,C. valerii,
7,6-30-2023,16:46,Colibri cyanotus,C. valerii,
7,6-30-2023,14:36,Colibri cyanotus,C. valerii,
7,6-30-2023,10:27,unknown,C. valerii,hummingbird not really visible
7,7-1-2023,10:59,Colibri cyanotus,C. valerii,
7,7-1-2023,11:26,Colibri cyanotus,C. valerii,
7,7-1-2023,12:06,Colibri cyanotus,C. valerii,
7,7-1-2023,12:51,Colibri cyanotus,C. valerii,
7,7-1-2023,1:19,Colibri cyanotus,C. valerii,
7,7-1-2023,2:41,Colibri cyanotus,C. valerii,
7,7-1-2023,2:43,Colibri cyanotus,C. valerii,For presentation! Really good!
7,7-1-2023,3:17,Colibri cyanotus,C. valerii,
7,7-1-2023,4:13,Colibri cyanotus,C. valerii,
7,7-1-2023,4:58,Colibri cyanotus,C. valerii,
C,6-30-2023,12:24,Panterpe insignis,C. costaricae,For presentation
C,6-30-2023,12:25,Panterpe insignis,C. costaricae,
C,6-30-2023,13:14,Panterpe insignis,C. costaricae,
C,7-1-2023,9:35,Panterpe insignis,C. costaricae,
C,7-1-2023,13:34,Panterpe insignis,C. costaricae,
,7-1-2023,15:17,Panterpe insignis,C. costaricae,