color,f.species,plant_id,sex,corolla,anther,camera
pink,C. talamancensis,1,F,43.2,66.2,
pink,C. talamancensis,1,M,45.65,63.57,
pink,C. talamancensis,1,M,43.8,63.1,
pink,C. talamancensis,1,F,45.6,67.59,
pink,C. talamancensis,1,F,45,64.6,
pink,C. talamancensis,1,M,45.58,65.73,
orange,C. valerii,2,M,27.38,42.68,2
orange,C. valerii,2,F,25.5,41.7,2
orange,C. valerii,2,F,24.2,43.5,2
orange,C. valerii,2,M,29.61,40.64,2
pink,C. talamancensis,3,M,44.9,54.7,6
pink,C. talamancensis,3,M,52.6,67.57,6
pink,C. talamancensis,3,F,48.5,68.6,6
pink,C. talamancensis,3,M,45.23,67.69,6
pink,C. talamancensis,3,F,48.4,71.2,6
pink,C. talamancensis,3,F,44.63,66.06,6
orange,C. valerii,4,F,27.68,46.71,7
orange,C. valerii,4,F,26.2,44.6,7
orange,C. valerii,4,F,25.46,46.68,7
orange,C. valerii,4,M,26.75,44.2,7
orange,C. valerii,4,M,27.02,43.8,7
orange,C. valerii,4,M,27.13,44.79,7
pink,C. talamancensis,5,M,44.9,67.9,NA
pink,C. talamancensis,5,F,45.49,70.25,NA
pink,C. talamancensis,5,M,48.75,62.47,NA
pink,C. talamancensis,5,M,45.4,65.4,NA
pink,C. talamancensis,5,F,48.75,70.43,NA
pink,C. talamancensis,5,F,45.5,68.4,NA
pink,C. talamancensis,6,M,47.01,61.72,NA
pink,C. talamancensis,6,F,44.1,65.1,NA
pink,C. talamancensis,6,M,44.15,63.8,NA
pink,C. talamancensis,6,M,43.9,64.5,NA
pink,C. talamancensis,6,F,46.44,67.3,NA
pink,C. talamancensis,6,F,44.3,64.4,NA
red,C. costaricae,7,F,28.13,38.23,NA
red,C. costaricae,8,M,27.2,35.8,NA
orange,C. valerii,9,M,29.1,43.8,
orange,C. valerii,9,M,29,42.6,
orange,C. valerii,9,M,28.3,43.3,
orange,C. valerii,9,F,27.4,45.2,
orange,C. valerii,9,M,28.2,42.8,
orange,C. valerii,9,F,27.5,44.7,
orange,C. valerii,10,M,29.2,47.1,
orange,C. valerii,10,M,28.4,47.4,
orange,C. valerii,10,F,27.4,45.6,
orange,C. valerii,10,M,29.3,46.4,
orange,C. valerii,10,F,29.5,48.1,
orange,C. valerii,10,F,29.2,46,
orange,C. valerii,11,M,29.6,46.6,
orange,C. valerii,11,F,29.6,47.8,
orange,C. valerii,11,M,29.34,48.9,
orange,C. valerii,11,F,29.6,46.2,
orange,C. valerii,11,F,28.51,48.11,
orange,C. valerii,11,M,29.81,44.59,
pink,C. talamancensis,12,F,47.77,75.18,
pink,C. talamancensis,12,F,42.8,64.2,
pink,C. talamancensis,12,M,48.6,64.9,
pink,C. talamancensis,12,M,48.97,65.04,
pink,C. talamancensis,12,M,42,62.8,
pink,C. talamancensis,12,F,47.27,68.36,
red,C. costaricae,13,F,25.6,33.1,NA
red,C. costaricae,13,M,27,34.4,NA
red,C. costaricae,14,M,30.15,34.36,NA
red,C. costaricae,14,M,28.7,37,1
red,C. costaricae,14,F,28.5,37.3,1
red,C. costaricae,14,F,31.11,37.93,5
red,C. costaricae,14,M,29.7,35.8,1
red,C. costaricae,14,M,30.44,36.42,5
red,C. costaricae,14,M,29.66,35.66,5
red,C. costaricae,14,M,30.1,39.6,NA
red,C. costaricae,14,M,30.49,37.42,NA
red,C. costaricae,14,F,27.17,37.17,5
red,C. costaricae,14,M,29.87,38.1,NA
red,C. costaricae,14,F,29.58,39.7,NA
red,C. costaricae,14,F,28.53,39.79,NA
orange,C. valerii,15,M,25.62,43.49,NA
orange,C. valerii,15,F,26.41,42.94,NA
orange,C. valerii,15,F,27.43,44.49,NA
orange,C. valerii,15,M,27.36,38.68,NA
orange,C. valerii,15,F,26.97,43.36,NA
orange,C. valerii,15,M,27.68,36.52,NA
red,C. costaricae,16,F,28.1,38,
red,C. costaricae,17,M,29.92,39.25,
red,C. costaricae,18,F,28.1,41.2,
red,C. costaricae,19,F,26.7,37,
red,C. costaricae,20,M,27.7,38,C
red,C. costaricae,20,M,27.5,37.4,C
red,C. costaricae,20,M,28.2,39.4,C
red,C. costaricae,20,M,29.4,39.1,C
red,C. costaricae,20,F,29.1,40.2,C
red,C. costaricae,20,M,28.3,37.7,C
red,C. costaricae,20,F,29.4,40.1,C
red,C. costaricae,20,M,27.5,37,C
red,C. costaricae,20,M,28.21,36.6,C
red,C. costaricae,21,F,28.9,38.7,