Species,Exposed_culmen_mm,Total_culmen,Weight_gr,Sex,Date,Site,N_GMS,W_GMS,Collection,Name
Colibri cyanotus,21.45,27.85,5.5,F,21-Jun-89,Villa Mills,93325,834235,MNCR,Julio Sánchez
Colibri cyanotus,21.25,26.39,4.9,F,Jun-90,Villa Mills,93330,834330,MNCR,Julio Sánchez
Colibri cyanotus,21.24,26.5,4.6,F,22-Nov-02,Villa Mills,93348,834340,MNCR,Julio Sánchez - Francisco Durán
Colibri cyanotus,22.9,28.05,5.6,M,22-Nov-02,Villa Mills,93348,834340,MNCR,Francisco Durán
Colibri cyanotus,21.35,26.2,5,F,11-Jan-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Colibri cyanotus,21.38,26.07,5,M,10-Jan-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Colibri cyanotus,20.89,25.01,5.5,M,22-Nov-02,Villa Mills,93348,834340,MNCR,Julio Sánchez - Francisco Durán
Colibri cyanotus,21.34,26.3,5.2,,11-Nov-19,"La Georgina, Cerro de La Muerte",93335,834310,MNCR,Ghisselle Alvarado
Colibri cyanotus,21.79,27.95,6,F,8-Aug-19,"La Georgina, Cerro de La Muerte",93329,834323,MNCR,Ghisselle Alvarado
Colibri cyanotus,19.6,25.1,5.4,M,2-Feb-86,Villa Mills (3100),,,MZ-UCR,Gary Stiles
Colibri cyanotus,22.16,28.28,5,F,3-Feb-86,Villa Mills (3100),,,MZ-UCR,Gary Stiles
Colibri cyanotus,21.61,27.98,5.05,F,2-Feb-86,Villa Mills (3100),,,MZ-UCR,Gary Stiles
Colibri cyanotus,21.5,26.3,4.1,F,25-Mar-11,"Los Nimbulos, Cerro de la Muerte",,,MZ-UCR,Diego Ocampo
Colibri cyanotus,21.51,25.19,5,F,31-Mar-74,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Colibri cyanotus,21.59,26.66,,M,8-Mar-67,Villa Mills ,,,MZ-UCR,Edwin Solís
Eugenes spectabilis,34.75,44.45,8.5,F,19-May-21,Cerro de La Muerte,,,MZ-UCR,Diego Ocampo
Eugenes spectabilis,36.48,45.88,8.2,F,23-Aug-14,"Los Nimbulos, Cerro de la Muerte",,,MZ-UCR,Diego Ocampo
Eugenes spectabilis,27.73,36,8,F,10-Feb-90,"La Georgina, Cerro de La Muerte",,,MZ-UCR,Ana Pereira
Eugenes spectabilis,30,38.02,11,M,13-Aug-83,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Eugenes spectabilis,30.95,39.32,,M,14-Nov-67,Cerro de La Muerte,,,MZ-UCR,G.H. Lowery
Eugenes spectabilis,28.28,35.98,,M,29-May-68,Villa Mills,,,MZ-UCR,J.H. Hunt
Eugenes spectabilis,31.19,38.2,,M,17-Aug-67,Villa Mills,,,MZ-UCR,L.F. Kiff
Eugenes spectabilis,35.94,42.9,8.2,F,31-Mar-74,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Eugenes spectabilis,35.96,44.55,9,M inm (?),12-Mar-19,Cerro de La Muerte (Iyok Ami),93827,835030,MNCR,Ghisselle Alvarado
Eugenes spectabilis,29.28,37.6,10,M,6-Aug-19,"La Georgina, Cerro de La Muerte",93335,834319,MNCR,Ghisselle Alvarado
Eugenes spectabilis,49.88,46.2,10,F,6-Aug-19,"La Georgina, Cerro de La Muerte",93335,834319,MNCR,Ghisselle Alvarado
Eugenes spectabilis,29.54,38.1,9,M,12-Mar-19,Cerro de La Muerte (Iyok Ami),93827,835030,MNCR,Ghisselle Alvarado
Eugenes spectabilis,31,39.36,9,M,12-Mar-19,Cerro de La Muerte (Iyok Ami),93827,835030,MNCR,Ghisselle Alvarado
Eugenes spectabilis,29.32,36.35,11.6,M,8-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,29.69,38,9.5,M,11-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,39.69,47.62,9.8,F,10-Jan-90,Villa Mills (3080 elev),93330,834240,MNCR,Julio Sánchez
Eugenes spectabilis,31.16,39.62,9,M,8-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,29.38,36.4,10.7,M,7-Nov-01,Cerro de La Muerte (3200),,,MNCR,Julio Sánchez
Eugenes spectabilis,29.67,37.86,9.5,M,11-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,29.56,37.8,10,M,10-Jan-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,31.38,39.27,10.5,M,11-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,29.69,38.05,10.8,M,8-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,34.47,44.6,8.2,F,18-Feb-94,Villa Mills (3100),,,MNCR,Julio Sánchez
Eugenes spectabilis,30.86,37.61,9.5,M,2-Mar-89,"La Georgina, Cerro de La Muerte",,,MNCR,Gilbert Barrantes
Eugenes spectabilis,31.58,40.84,10,M,8-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Eugenes spectabilis,36.36,44.51,,F,16-Jul-90,Villa Mills,,,MNCR,Julio Sánchez
Eugenes spectabilis,37.88,47.65,,F,23-Jul-96,Villa Mills,,,MNCR,Julio Sánchez
Eugenes spectabilis,28.18,37.72,8.6,F inm (?),24-Jul-96,Villa Mills,,,MNCR,Julio Sánchez
Eugenes spectabilis,35.02,44.39,9,F,2-Jun-85,Villa Mills,,,MNCR,Julio Sánchez
Panterpe insignis,19.61,24.34,5.8,M,11-May-02,San Gerardo Dota (2300 elev),,,MNCR,Julio Sánchez - Francisco Durán
Panterpe insignis,19.64,24.61,5.2,M,8-Aug-02,Villa Mills,,,MNCR,Julio Sánchez - Francisco Durán
Panterpe insignis,19.53,22.95,6,F,6-Aug-19,"La Georgina, Cerro de La Muerte",93335,834319,MNCR,Ghisselle Alvarado
Panterpe insignis,18.2,23.26,5.8,M,8-Aug-02,Villa Mills,,,MNCR,Julio Sánchez - Francisco Durán
Panterpe insignis,18.59,24.4,4.8,M,23-Jul-96,Villa Mills (3100),,,MNCR,Julio Sánchez 
Panterpe insignis,18.1,23.05,5.3,F,5-Aug-90,Villa Mills,93330,834330,MNCR,Julio Sánchez 
Panterpe insignis,18.42,23.18,4.9,F,22-Nov-02,Villa Mills,93348,834340,MNCR,Julio Sánchez - Francisco Durán
Panterpe insignis,19.4,23.05,6,M,,Villa Mills,93348,834340,MNCR,Julio Sánchez 
Panterpe insignis,18.01,23.01,6,M,8-Aug-02,Villa Mills,,,MNCR,Julio Sánchez - Francisco Durán
Panterpe insignis,18.1,23.1,6,M,23-Jul-96,Villa Mills (3100),,,MNCR,Julio Sánchez 
Panterpe insignis,18.6,24.6,5.9,M,21-Jun-94,Providencia de Dota,,,MNCR,Julio Sánchez 
Panterpe insignis,18.19,24.36,5.4,M,8-Aug-02,Villa Mills,,,MNCR,Julio Sánchez - Francisco Durán
Panterpe insignis,18.31,24.41,6.2,M,26-Jan-90,Villa Mills (3100),93320,834340,MNCR,Julio Sánchez 
Panterpe insignis,17.89,22.92,5.4,M,18-Jul-18,Cerro de La Muerte,93525,834534,MNCR,Silvia Bolaños
Panterpe insignis,18.1,23.3,6.6,F,6-Aug-19,"La Georgina, Cerro de La Muerte",93335,834319,MNCR,Ghisselle Alvarado
Panterpe insignis,18.08,23.15,4.9,M,26-Jan-90,Villa Mills (3100),93320,834340,MNCR,Julio Sánchez 
Panterpe insignis,18.1,23.08,4.5,F,19-May-21,Cerro de La Muerte,,,MZ-UCR,Diego Ocampo
Panterpe insignis,18.48,23.12,6.6,M,13-Aug-83,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Panterpe insignis,18.05,22.86,5.25,F,29-Dec-96,"Los Quetzales, Dota",,,MZ-UCR,Gilbert Barrantes-Julio Sánchez
Panterpe insignis,16.32,21.5,4.5,?,6-Jun-18,Cerro de La Muerte,93336,834407,MZ-UCR,Diego Ocampo
Panterpe insignis,18.38,23.1,5.65,M,25-Mar-11,"Los Nimbulos, Cerro de la Muerte",,,MZ-UCR,Diego Ocampo
Panterpe insignis,18.28,24.48,5.9,M,8-Oct-79,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Panterpe insignis,18.44,24.38,6.17,M,13-Apr-13,"Los Nimbulos, Cerro de la Muerte",93339,834430,MZ-UCR,Diego Ocampo
Panterpe insignis,18.4,24.56,6.6,M,13-Aug-83,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Panterpe insignis,18.36,23.05,6.4,M,13-Aug-83,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Panterpe insignis,18.07,23.1,6.4,M,21-Apr-74,Villa Mills ,,,MZ-UCR,C Sumida
Panterpe insignis,19.75,23.21,5.5,M,31-Dec-10,Cerro de La Muerte (3100),,,MZ-UCR,Julio Sánchez
Panterpe insignis,18.09,23.02,4.9,F,8-Oct-79,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Panterpe insignis,18.28,23.21,6.7,F,13-Aug-83,Cerro de La Muerte,,,MZ-UCR,Gary Stiles
Panterpe insignis,17.84,22.94,5.9,M,5-May-88,Villa Mills ,,,MZ-UCR,Gary Stiles
Panterpe insignis,19.46,24.5,7.5,M,26-Jul-98,Cerro de La Muerte,,,MZ-UCR,Cesar Sánchez